이름,구,주소,X,Y
동부소방서119구조대,동구,대구시 동구 동대구로 507(신천3동),35.8760729,128.6251809
율하119구조대,동구,대구시 동구 율하동로8길 5(율하동),35.8631666,128.7030747
신천119안전센터,동구,대구시 동구 동대구로 507(신천3동),35.8760729,128.6251809
동촌119안전센터,동구,대구시 동구 해동로 180(검사동),35.8866851,128.6484361
안심119안전센터,동구,대구시 동구 반야월로 291(각산동),35.8722028,128.720423
불로119안전센터,동구,대구시 동구 팔공로50길 19(봉무동),35.9202102,128.6499178
공산119안전센터,동구,대구시 동구 팔공산로 1579(백안동),35.9536061,128.6934504
대구중부소방서,중구,대구광역시 중구 달구벌대로 1926(남산동),35.8612519,128.5871093
서문로 119안전센터,중구,대구광역시 중구 경상감영길 45(서문로1가),35.871303,128.5884494
봉덕 119안전센터,남구,대구광역시 남구 희망로3길 29(봉덕동),35.84905430000001,128.5993059
대신 119안전센터,중구,대구광역시 중구 큰장로26길 45(대신동),35.8688986,128.580781
삼덕 119안전센터,중구,대구광역시 중구 공평로 35(삼덕동1가),35.8656405,128.5978273
명덕 119안전센터,남구,대구광역시 남구 명덕로34길 22(대명동),35.8555251,128.5872268
성명 119안전센터,남구,대구광역시 남구 대명남로 12-1(대명동),35.8334079,128.5601596
대명 119지역대,남구,대구광역시 남구 현충로 49(대명동),35.8372414,128.5793193
대구서부소방서,서구,대구광역시 서구 달서천로 186,35.881886,128.5543905
강북119구조대,북구,대구광역시 북구 구암로 155길,35.9319607,128.5577963
이현119안전센터,서구,대구광역시 서구 국채보상로 119,35.8690863,128.5441569
읍내119안전센터,북구,대구광역시 북구 칠곡중앙대로 570,35.9463498,128.5516049
내당119안전센터,서구,대구광역시 서구 서대구로 3길 16,35.859439,128.5552904
비산119안전센터,서구,대구광역시 서구 달서로 206,35.8804521,128.5720441
태전119안전센터,북구,대구광역시 북구 칠곡중앙대로 184,35.9123408,128.548826
동천119안전센터,북구,대구광역시 북구 구암로 155길,35.9319607,128.5577963
금호119안전센터,북구,대구광역시 북구 한강로 105,35.866965,128.5782278
대구북부소방서,북구,대구광역시 북구 칠성남로 112 (칠성동2가 302-142),35.8779915,128.5923197
침산119안전센터,북구,대구광역시 북구 침산남로 149 (침산2동 266-7),35.8883488,128.5922628
노원119안전센터,북구,대구광역시 북구 노원로 42 (노원동3가 888),35.8922096,128.5673269
대현119안전센터,북구,대구광역시 북구 대현로 105 (대현1동 155-2),35.8824452,128.6106348
무태119안전센터,북구,대구광역시 북구 호국로43길 21 (서변동 1790),35.9212699,128.5971739
산격119안전센터,북구,대구광역시 북구 유통단지로8길 88 (산격2동 1683),35.9060735,128.6142595
복현119지역대,북구,대구광역시 북구 동북로 245 (복현2동 320-11),35.8954033,128.6182091
대구수성소방서,수성구,대구광역시 수성구 청호로 87,35.825519,128.6442638
119구조대,수성구,대구광역시 수성구 지범로 151,35.8233034,128.6370269
만촌119안전센터,수성구,대구광역시 수성구 달구벌대로 2658,35.8553518,128.6521145
황금119안전센터,수성구,대구광역시 수성구 동대구로 12길 41,35.8355187,128.626452
상동119안전센터,수성구,대구광역시 수성구 파동로 1길 5,35.8056215,128.6232198
수성119안전센터,수성구,대구광역시 수성구 들안로 60길 30,35.8568077,128.6209186
무열로119안전센터,수성구,대구광역시 수성구 무열로 139,35.8706983,128.648153
고산119안전센터,수성구,대구광역시 수성구 고산로 105 (신매동),35.8403373,128.7045513
대구달서소방서,달서구,대구광역시 달서구 학산로 75(월성동),35.8310954,128.5347651
본리119안전센터,달서구,대구광역시 달서구 대명천로 134(본리동),35.8396921,128.545028
송현119안전센터,달서구,대구광역시 달서구 월배로 262(상인동),35.82001169999999,128.542029
도원 119안전센터,달서구,대구광역시 달서구 도원로 8(도원동),35.80900889999999,128.5356626
현풍119안전센터,달성군,달성군 현풍면 비슬로 480,35.6825307,128.4470113
논공119안전센터,달성군,달성군 논공읍 논공중앙로 33길 5,35.7300631,128.4530835
화원119안전센터,달성군,달성군 화원읍 화암로 122,35.7987551,128.5016669
구지119안전센터,달성군,달성군 구지면 달성 2차로 111,35.6398205,128.4197729
옥포119안전센터,달성군,달성군 옥포면 비슬로 2215,35.7893104,128.4638592
다사119안전센터,달성군,달성군 다사읍 달구벌대로 920,35.8593802,128.4466289
성서119안전센터,달서구,대구 달서구 성서로 357,35.8495121,128.5068962
대천119안전센터,달서구,대구 달서구 달서대로58길 129,35.8249578,128.5067766
죽전119안전센터,달서구,대구 달서구 와룡로 222,35.8526025,128.5376573
